Date,Mean discharge (Observed),Q sat discharge
20-1-2011,278.3999939,
21-1-2011,298.2999878,
22-1-2011,290.7000122,
23-1-2011,278.6000061,
24-1-2011,275.7999878,
25-1-2011,283.2000122,
26-1-2011,274.3999939,
27-1-2011,259.8999939,
28-1-2011,267.7000122,
29-1-2011,275.6000061,
30-1-2011,270.2999878,
31-1-2011,268.2999878,
1-2-2011,253.3999939,
2-2-2011,247.1999969,
3-2-2011,261.5,
4-2-2011,315.5,
5-2-2011,323.2999878,
6-2-2011,324.2000122,
7-2-2011,301.2000122,
8-2-2011,299.7000122,
9-2-2011,309,
10-2-2011,327.2000122,
11-2-2011,337.3999939,
12-2-2011,320.5,
13-2-2011,334.3999939,
14-2-2011,322.3999939,
15-2-2011,317.5,
16-2-2011,314.5,
17-2-2011,314.2999878,
18-2-2011,336.5,
19-2-2011,342.3999939,
20-2-2011,320.2000122,
21-2-2011,316.2000122,
22-2-2011,348.7999878,
23-2-2011,360.5,
24-2-2011,374.7000122,
25-2-2011,361.8999939,
26-2-2011,374.7000122,
27-2-2011,358.7999878,
28-2-2011,342,
1-3-2011,317.5,
2-3-2011,312.6000061,
3-3-2011,332.5,
4-3-2011,347.8999939,
5-3-2011,358.2999878,
6-3-2011,352.6000061,
7-3-2011,342.1000061,
8-3-2011,325,
9-3-2011,319.7000122,
10-3-2011,322.2000122,
11-3-2011,335.1000061,
12-3-2011,321,
13-3-2011,310.1000061,
14-3-2011,293.5,
15-3-2011,250.6000061,
16-3-2011,270.1000061,
17-3-2011,289.1000061,
18-3-2011,300.7999878,
19-3-2011,289.2999878,
20-3-2011,269.1000061,
21-3-2011,281.7999878,
22-3-2011,270.5,
23-3-2011,253.6000061,
24-3-2011,282.7000122,
25-3-2011,280.8999939,
26-3-2011,287.1000061,
27-3-2011,287.2000122,
28-3-2011,289.8999939,
29-3-2011,272.8999939,
30-3-2011,238.6999969,
31-3-2011,304.8999939,
1-4-2011,342.1000061,
2-4-2011,349.6000061,
3-4-2011,356.3999939,
4-4-2011,353.7999878,
5-4-2011,311,
6-4-2011,310.7000122,
7-4-2011,321.5,
8-4-2011,322.2000122,
9-4-2011,332.8999939,
10-4-2011,337.6000061,
11-4-2011,335.6000061,
12-4-2011,312.2000122,
